article_id,chunk_id
0,0_semantic_0000
0,0_semantic_0001
0,0_semantic_0002
1,1_semantic_0000
1,1_semantic_0001
1,1_semantic_0002
1,1_semantic_0003
1,1_semantic_0004
2,2_semantic_0000
2,2_semantic_0001
2,2_semantic_0002
3,3_semantic_0000
3,3_semantic_0001
3,3_semantic_0002
4,4_semantic_0000
4,4_semantic_0001
4,4_semantic_0002
5,5_semantic_0000
5,5_semantic_0001
5,5_semantic_0002
6,6_semantic_0000
6,6_semantic_0001
6,6_semantic_0002
7,7_semantic_0000
7,7_semantic_0001
7,7_semantic_0002
7,7_semantic_0003
8,8_semantic_0000
8,8_semantic_0001
8,8_semantic_0002
8,8_semantic_0003
9,9_semantic_0000
9,9_semantic_0001
10,10_semantic_0000
10,10_semantic_0001
10,10_semantic_0002
11,11_semantic_0000
11,11_semantic_0001
11,11_semantic_0002
11,11_semantic_0003
11,11_semantic_0004
12,12_semantic_0000
12,12_semantic_0001
12,12_semantic_0002
12,12_semantic_0003
13,13_semantic_0000
13,13_semantic_0001
13,13_semantic_0002
13,13_semantic_0003
14,14_semantic_0000
14,14_semantic_0001
14,14_semantic_0002
15,15_semantic_0000
15,15_semantic_0001
15,15_semantic_0002
16,16_semantic_0000
16,16_semantic_0001
16,16_semantic_0002
17,17_semantic_0000
17,17_semantic_0001
17,17_semantic_0002
18,18_semantic_0000
18,18_semantic_0001
18,18_semantic_0002
18,18_semantic_0003
19,19_semantic_0000
19,19_semantic_0001
19,19_semantic_0002
20,20_semantic_0000
20,20_semantic_0001
20,20_semantic_0002
21,21_semantic_0000
21,21_semantic_0001
21,21_semantic_0002
21,21_semantic_0003
22,22_semantic_0000
22,22_semantic_0001
22,22_semantic_0002
22,22_semantic_0003
22,22_semantic_0004
23,23_semantic_0000
23,23_semantic_0001
23,23_semantic_0002
24,24_semantic_0000
25,25_semantic_0000
25,25_semantic_0001
25,25_semantic_0002
25,25_semantic_0003
26,26_semantic_0000
26,26_semantic_0001
26,26_semantic_0002
26,26_semantic_0003
27,27_semantic_0000
27,27_semantic_0001
28,28_semantic_0000
28,28_semantic_0001
28,28_semantic_0002
28,28_semantic_0003
28,28_semantic_0004
29,29_semantic_0000
29,29_semantic_0001
29,29_semantic_0002
29,29_semantic_0003
